Species,Weight,Height,Width
Bream,242,11.52,4.02
Bream,290,12.48,4.3056
Bream,340,12.3778,4.6961
Bream,363,12.73,4.4555
Bream,450,13.6024,4.9274
Bream,500,14.1795,5.2785
Roach,40,4.1472,2.268
Roach,69,5.2983,2.8217
Roach,78,5.5756,2.9044
Roach,87,5.6166,3.1746
Roach,120,6.216,3.5742
Roach,0,6.4752,3.3516
Whitefish,270,8.3804,4.2476
Whitefish,270,8.1454,4.2485
Whitefish,306,8.778,4.6816
Whitefish,540,10.744,6.562
Whitefish,800,11.7612,6.5736
Whitefish,1000,12.354,6.525
Parkki,55,6.8475,2.3265
Parkki,60,6.5772,2.3142
Parkki,90,7.4052,2.673
Parkki,120,8.3922,2.9181
Parkki,150,8.8928,3.2928
Parkki,140,8.5376,3.2944
Perch,5.9,2.112,1.408
Perch,32,3.528,1.9992
Perch,40,3.824,2.432
Perch,51.5,4.5924,2.6316
Perch,70,4.588,2.9415
Perch,100,5.2224,3.3216
Pike,200,5.568,3.3756
Pike,300,5.7078,4.158
Pike,300,5.9364,4.3844
Pike,300,6.2884,4.0198
Pike,430,7.29,4.5765
Pike,345,6.396,3.977
Smelt,6.7,1.7388,1.0476
Smelt,7.5,1.972,1.16
Smelt,7,1.7284,1.1484
Smelt,9.7,2.196,1.38
Smelt,9.8,2.0832,1.2772
Smelt,8.7,1.9782,1.2852
