,weight,species_Parkki,species_Perch,species_Pike,species_Roach,species_Smelt,species_Whitefish,height_scaled,width_scaled
0,242.0,0,0,0,0,0,0,0.6281661647399437,-0.2538370865962682
1,290.0,0,0,0,0,0,0,0.8227335848726692,-0.08398508889582597
2,340.0,0,0,0,0,0,0,0.8023372965779051,0.1474642091105706
3,363.0,0,0,0,0,0,0,0.872322231919202,0.004965322595282214
4,430.0,0,0,0,0,0,0,0.8155573077799553,0.40599754537064486
5,450.0,0,0,0,0,0,0,1.042124549143062,0.28415028422032435
6,500.0,0,0,0,0,0,0,1.1518374064678059,0.49108846880189244
7,390.0,0,0,0,0,0,0,0.8604599566722787,0.143855446811808
8,450.0,0,0,0,0,0,0,1.1188543314133,0.2347807626991376
9,500.0,0,0,0,0,0,0,1.16070429576968,0.3030377829535037
10,475.0,0,0,0,0,0,0,1.1675104221128993,0.3884360680262867
11,500.0,0,0,0,0,0,0,1.1878833722386086,0.21752794825809488
12,500.0,0,0,0,0,0,0,1.0721326619396965,-0.046940844897923835
13,340.0,0,0,0,0,0,0,1.101402304339154,0.3699267084153661
14,600.0,0,0,0,0,0,0,1.296113624939694,0.42767788089390324
15,600.0,0,0,0,0,0,0,1.3844867794706917,0.6682954551074273
16,700.0,0,0,0,0,0,0,1.278790479024985,0.49514898349289954
17,700.0,0,0,0,0,0,0,1.2930947531931754,0.44340355743885984
18,610.0,0,0,0,0,0,0,1.4197745161186353,0.4058796984071993
19,650.0,0,0,0,0,0,0,1.207031297851862,0.7548873446529578
20,575.0,0,0,0,0,0,0,1.3280719810826191,0.6621315139575695
21,685.0,0,0,0,0,0,0,1.4845208807183603,0.5451502583975835
22,620.0,0,0,0,0,0,0,1.3998383805613845,0.4920300587648847
23,680.0,0,0,0,0,0,0,1.3900372140234307,0.9908009767569589
24,700.0,0,0,0,0,0,0,1.5284800925939754,0.673578412671685
25,725.0,0,0,0,0,0,0,1.549650045552026,0.9455483479631324
26,720.0,0,0,0,0,0,0,1.5499683985732766,0.967067118379793
27,714.0,0,0,0,0,0,0,1.5773593771859367,0.8274964059977659
28,850.0,0,0,0,0,0,0,1.6426566510938523,1.0304191916133978
29,1000.0,0,0,0,0,0,0,1.9938986911839924,1.2664329534512493
30,920.0,0,0,0,0,0,0,1.8398015734820932,1.0934281735672622
31,955.0,0,0,0,0,0,0,1.8477737727912076,1.0850804748225058
32,925.0,0,0,0,0,0,0,1.9602260545766863,1.3518384290952634
33,975.0,0,0,0,0,0,0,1.9404251101439032,1.3504419056939532
34,950.0,0,0,0,0,0,0,1.7694268873160006,1.1308944658599913
36,69.0,0,0,0,1,0,0,-0.859095418905167,-0.9725742611097319
37,78.0,0,0,0,1,0,0,-0.7808794558793873,-0.9226189764485839
38,87.0,0,0,0,1,0,0,-0.7694475878622578,-0.7597931124861554
39,120.0,0,0,0,1,0,0,-0.6059693248210162,-0.5200151214084742
41,110.0,0,0,0,1,0,0,-0.6188998436012491,-0.6269779464465959
42,120.0,0,0,0,1,0,0,-0.6331627723731003,-0.6878434366628116
43,150.0,0,0,0,1,0,0,-0.7174772845399464,-0.4122608317312618
44,145.0,0,0,0,1,0,0,-0.49574839726637526,-0.5358204927435762
45,160.0,0,0,0,1,0,0,-0.3930047015633458,-0.3729097774405208
46,140.0,0,0,0,1,0,0,-0.5176447448389206,-0.6694076522472209
47,160.0,0,0,0,1,0,0,-0.5570792050647158,-0.38502847576590743
48,169.0,0,0,0,1,0,0,-0.26749631140631996,-0.36401651741722285
49,161.0,0,0,0,1,0,0,-0.42312240584136224,-0.4859065580926799
50,200.0,0,0,0,1,0,0,-0.30161391949162536,-0.19002379240898534
51,180.0,0,0,0,1,0,0,-0.3795057846464909,-0.32177864533219236
55,270.0,0,0,0,0,0,1,-0.06317998504299689,-0.11843822680758025
56,270.0,0,0,0,0,0,1,-0.1190328824439023,-0.11790345346888714
57,306.0,0,0,0,0,0,1,0.029840463560391623,0.1388856634470797
58,540.0,0,0,0,0,0,1,0.46570098581655195,1.2425479065435419
59,800.0,0,0,0,0,0,1,0.6776929032432052,1.2493063311931785
60,1000.0,0,0,0,0,0,1,0.7975769655240752,1.2209871366346081
61,55.0,1,0,0,0,0,0,-0.4405082192419696,-1.2729670658641894
62,60.0,1,0,0,0,0,0,-0.5105335671245552,-1.2804575933092863
63,90.0,1,0,0,0,0,0,-0.29952365618508425,-1.0625442058484125
64,120.0,1,0,0,0,0,0,-0.06039291238579653,-0.914348952822025
